Course Code,Course Name,Course Type,Course Category,Instructor,Venue,Slot,Division,Biometric Attendance Enabled,Registration Limit,Restriction,Session/Division Defined,Total Credits,Lecture,Tutorial,Practical,Self Study,Half Semester,Text Reference,Description
CE 324,Engineering Law,Theory,Interdisciplinary STEM Course.,"A - Milind S. Wankhede
I - Ravi Sinha","   
FullSemester","12
Mon-12A-17:30:00-18:55:00-
Thu-12B-17:30:00-18:55:00-", , ,60,No restrictions,[],6.0,2.0, ,1.0, ,N,Judgements and case studies,"The Indian legal system from an engineer’s perspective. Socratic-method analysis of statutory and case law. Contract, patent, corporation, antitrust, property, and environmental laws. Development of law, courts, and ethics; law on contracts, agency, sales, property, and patterns; specifications; preparation of contract documents. Coverage of following topics: 1. Overview of Indian legal system, 2. Contracts: Definitions and essentials, 3. Conditions: 3rd parties and law, 4. Construction: Performance/Breach/Damages and Contracts, 5. General Conditions: Proposals, advertisements and applications, 6. Financial Considerations: Loans and leans, 7. Specifications: Workmanship, material, drawings, 8. Agencies: Partnerships and corporations, 9. Torts: Limited coverage, 10. Professional liability: Insurance, bonds, property, 11. Litigation: Evidence, expert witness, mediation, ethics."
CE 343,Water Resources Engineering,Theory,Interdisciplinary STEM Course.,I - Riddhi Singh,"   
FullSemester","4
Mon-4A-11:35:00-12:30:00-
Thu-4C-09:30:00-10:25:00-
Tue-4B-08:30:00-09:25:00-", S1, ,300,No restrictions,"S1
23B0625,23B0624,23B0623,23B0622,23B0621,23B0620,23B0619,23B0618,23B0617,23B0616,23B0615,23B0614,23B0613,23B0612,23B0611,23B0610,23B0609,23B0608,23B0607,23B0606,23B0605,23B0604,23B0603,23B0602,23B0601,23B0686,23B0685,23B0684,23B0683,23B0682,23B0681,23B0680,23B0679,23B0678,23B0677,23B0676,23B0675,23B0674,23B0673,23B0672,23B0671,23B0670,23B0669,23B0668,23B0666,23B0665,23B0664,23B0663,23B0662,23B0661,23B0660,23B0659,23B0658,23B0657,23B0656,23B0655,23B0654,23B0653,23B0652,23B0651,23B0650,23B0649,23B0648,23B0647,23B0646,23B0645,23B0644,23B0643,23B0642,23B0641,23B0640,23B0639,23B0638,23B0637,23B0636,23B0635,23B0634,23B0633,23B0632,23B0631,23B0629,23B0628,23B0627,23B0626,
S2
23B0711,23B0710,23B0709,23B0708,23B0707,23B0706,23B0705,23B0704,23B0703,23B0702,23B0701,23B0700,23B0699,23B0698,23B0697,23B0696,23B0695,23B0694,23B0693,23B0692,23B0691,23B0690,23B0689,23B0688,23B0687,23B0771,23B0770,23B0769,23B0768,23B0767,23B0766,23B0765,23B0764,23B0763,23B0762,23B0761,23B0760,23B0759,23B0758,23B0757,23B0755,23B0754,23B0753,23B0752,23B0751,23B0750,23B0749,23B0748,23B0747,23B0746,23B0745,23B0744,23B0743,23B0742,23B0741,23B0740,23B0739,23B0738,23B0737,23B0736,23B0735,23B0734,23B0733,23B0732,23B0731,23B0730,23B0729,23B0728,23B0727,23B0726,23B0725,23B0724,23B0723,23B0722,23B0721,23B0720,23B0719,23B0718,23B0717,23B0716,23B0715,23B0714,23B0713,23B0712,
",6.0,3.0, , , ,N,"1. Chow, V.T., Maidment, D.R., Mays, L.W. (2013). Applied Hydrology, 2nd Edition, Tata McGraw-Hill Education, 2013 2. Subramanya K (2017). Engineering Hydrology. 4th Edition, McGraw Hill Publishing Company, 2017 3. Ojha, C.S.P., Berndtsson, R., Bhunya, P. (2008).-Engineering Hydrology. Publisher: Oxford University Press, 2008 4. Potter, K. (2022). Water Resources Engineering, Publisher: Callisto, 2022 5. Wurbs R.A and James W.P.(2002). Water Resources Engineering, Prentice Hall of India, 2002 6. Garg S.K. (2001). Irrigation Engineering and Hydraulic Structures, Khanna Publishers, New Delhi, 2001 7. Modi P.N. (2008). Irrigation Water Resources and Water Power Engineering. 7th Edition, Standard Book House, New Delhi, 2008 8. Cuenca R.H, (1989) Irrigation System Design, An Engineering Approach, Prentice Hall, Englewood Cliffs, New Jersey, USA, 1989","Basics of Hydrology and Hydrological Processes (Precipitation, Abstractions, Infiltration, and Runoff, Watersheds, Basin Characteristics, Streamflows, Runoff yield). Hydrometry; Hydrograph analysis (direct runoff hydrographs and unit hydrographs); Floods and droughts; Frequency analysis; Flood routing; Introduction to ground water hydrology; Planning of Small and Large Hydraulic structures (Weirs, barrages, dams, spillways), Reservoir planning and operation; River intakes; Hydro-electric power (power plant classification, run-of-river schemes, penstocks and anchor blocks, turbines); Irrigation (crop water requirements, irrigation scheduling, crop yields, irrigation efficiencies). Canals layout (regime channels, canal losses, water logging)."
CE 343,Water Resources Engineering,Theory,Interdisciplinary STEM Course.,I - Kapil Gupta,"   
FullSemester","4
Mon-4A-11:35:00-12:30:00-
Thu-4C-09:30:00-10:25:00-
Tue-4B-08:30:00-09:25:00-", S2, ,300,No restrictions,"S1
23B0625,23B0624,23B0623,23B0622,23B0621,23B0620,23B0619,23B0618,23B0617,23B0616,23B0615,23B0614,23B0613,23B0612,23B0611,23B0610,23B0609,23B0608,23B0607,23B0606,23B0605,23B0604,23B0603,23B0602,23B0601,23B0686,23B0685,23B0684,23B0683,23B0682,23B0681,23B0680,23B0679,23B0678,23B0677,23B0676,23B0675,23B0674,23B0673,23B0672,23B0671,23B0670,23B0669,23B0668,23B0666,23B0665,23B0664,23B0663,23B0662,23B0661,23B0660,23B0659,23B0658,23B0657,23B0656,23B0655,23B0654,23B0653,23B0652,23B0651,23B0650,23B0649,23B0648,23B0647,23B0646,23B0645,23B0644,23B0643,23B0642,23B0641,23B0640,23B0639,23B0638,23B0637,23B0636,23B0635,23B0634,23B0633,23B0632,23B0631,23B0629,23B0628,23B0627,23B0626,
S2
23B0711,23B0710,23B0709,23B0708,23B0707,23B0706,23B0705,23B0704,23B0703,23B0702,23B0701,23B0700,23B0699,23B0698,23B0697,23B0696,23B0695,23B0694,23B0693,23B0692,23B0691,23B0690,23B0689,23B0688,23B0687,23B0771,23B0770,23B0769,23B0768,23B0767,23B0766,23B0765,23B0764,23B0763,23B0762,23B0761,23B0760,23B0759,23B0758,23B0757,23B0755,23B0754,23B0753,23B0752,23B0751,23B0750,23B0749,23B0748,23B0747,23B0746,23B0745,23B0744,23B0743,23B0742,23B0741,23B0740,23B0739,23B0738,23B0737,23B0736,23B0735,23B0734,23B0733,23B0732,23B0731,23B0730,23B0729,23B0728,23B0727,23B0726,23B0725,23B0724,23B0723,23B0722,23B0721,23B0720,23B0719,23B0718,23B0717,23B0716,23B0715,23B0714,23B0713,23B0712,
",6.0,3.0, , , ,N,"1. Chow, V.T., Maidment, D.R., Mays, L.W. (2013). Applied Hydrology, 2nd Edition, Tata McGraw-Hill Education, 2013 2. Subramanya K (2017). Engineering Hydrology. 4th Edition, McGraw Hill Publishing Company, 2017 3. Ojha, C.S.P., Berndtsson, R., Bhunya, P. (2008).-Engineering Hydrology. Publisher: Oxford University Press, 2008 4. Potter, K. (2022). Water Resources Engineering, Publisher: Callisto, 2022 5. Wurbs R.A and James W.P.(2002). Water Resources Engineering, Prentice Hall of India, 2002 6. Garg S.K. (2001). Irrigation Engineering and Hydraulic Structures, Khanna Publishers, New Delhi, 2001 7. Modi P.N. (2008). Irrigation Water Resources and Water Power Engineering. 7th Edition, Standard Book House, New Delhi, 2008 8. Cuenca R.H, (1989) Irrigation System Design, An Engineering Approach, Prentice Hall, Englewood Cliffs, New Jersey, USA, 1989","Basics of Hydrology and Hydrological Processes (Precipitation, Abstractions, Infiltration, and Runoff, Watersheds, Basin Characteristics, Streamflows, Runoff yield). Hydrometry; Hydrograph analysis (direct runoff hydrographs and unit hydrographs); Floods and droughts; Frequency analysis; Flood routing; Introduction to ground water hydrology; Planning of Small and Large Hydraulic structures (Weirs, barrages, dams, spillways), Reservoir planning and operation; River intakes; Hydro-electric power (power plant classification, run-of-river schemes, penstocks and anchor blocks, turbines); Irrigation (crop water requirements, irrigation scheduling, crop yields, irrigation efficiencies). Canals layout (regime channels, canal losses, water logging)."
CE3618,Advanced Structural Design,Theory,Interdisciplinary STEM Course.,I - Siddhartha Ghosh,"   
FullSemester","1
Mon-1A-08:30:00-09:25:00-
Thu-1C-10:35:00-11:30:00-
Tue-1B-09:30:00-10:25:00-", , ,50,No restrictions,[],6.0, , , , ,N, , 
CE 402,Introduction to Geotechnical Earthquake Engineering,Theory,Interdisciplinary STEM Course.,I - Deepankar Choudhury,"  Room No. 208
FullSemester","9
Mon-9A-15:30:00-16:55:00-Room No. 208
Thu-9B-15:30:00-16:55:00-Room No. 208", , ,300,No restrictions,[],6.0,2.0, , , ,N,"S.L. Kramer, Geotechnical Earthquake Engineering, Prentice Hall, New Jersey, 1996.R.W. Day, Geotechnical Earthquake Engineering Handbook, McGraw Hill, New York, 2002.",Introduction to Geotechnical Earthquake Engineering; Seismology and earthquakes; Strong ground motions; Earthquake hazards related to geotechnical engineering; Wave propagation; Liquefaction; Seismic slope stability; Seismic design of retaining walls; Force based pseudo-static and pseudo-dynamic analysis; Displacement based analysis; Seismic design of shallow foundations; Seismic design of pile foundations; Seismic uplift capacity of anchors; Soil improvement for remediation of seismic hazards; Design guidelines in codes.
CE 410,Introduction to Offshore Engineering,Theory,Interdisciplinary STEM Course.,I - Gowri Shankar C.,"   
FullSemester","1
Mon-1A-08:30:00-09:25:00-
Thu-1C-10:35:00-11:30:00-
Tue-1B-09:30:00-10:25:00-", , ,300,No restrictions,[],6.0,2.0,2.0, , ,N,"C.A. Brebbla and S. Walker, Dynamic analysis of Offshore Structures, Newnes Butterworth, London, 1979.T. Sarapkaya and M. Isaacson, Mechanics of Wave Forces on Offshore Structures, Van Nostrand Reinhold, New York, 1981.B.C. Gerwick, Offshore Construction, Buttersworth, 2000.S. Narasimhan, S Kathiroli and T Nagendrakumar, Harbor and Coastal Engineering, National Institute of Ocean Technology, Chennai, 2001.","Offshore environment, types of structures; Wave theories - linear and nonlinear; Wave induced forces - on fixed and floating structures; Stability of floating structures; Submarine pipelines; Offshore construction - installation, repairs, maintenance and operation."
CE 418,Introduction to Finite Elements Methods,Theory,Interdisciplinary STEM Course.,I - Naresh Kotumal Chandiramani,"  Room No. 208
FullSemester","8
Mon-8A-14:00:00-15:25:00-Room No. 208
Thu-8B-14:00:00-15:25:00-Room No. 208", , ,300,No restrictions,[],6.0,2.0,1.0, , ,N,"T.R. Chandrupatla and A.D. Belegundu, Introduction to Finite Elements in Engineering, 3rd Ed., Prentice-Hall, New Delhi, 2002.J.N. Reddy, Introduction to the Finite Element Method, 2nd Ed., McGraw-Hill, New York, 2005.C.S. Krishnamoorthy, Finite Element Analysis: Theory and Programming, Tata McGraw Hill, New Delhi, 1987.O.C. Zienkiewicz, R.L. Taylor and J.Z. Zhu, Finite Element Method: Its Basis and Fundamentals, 6th Ed., Elsevier Butterworth Heinemann, Oxford, 2005.Finite Element Method with Applications in Engineering by Y. M. Desai, T.I. Eldho and A. H. Shah, Pearson, 2011","Introduction - Overview of different methods, background of finite element method, general steps, advantages and disadvantages; One-dimensional analysis - Linear spring, truss, beam, plane frame, grid, torsion, steady state heat conduction, flow through porous media, flow through pipes; Two-dimensional analysis - two dimensional flow through porous media, stress analysis, review of theory of elasticity, plane stress analysis, plane strain analysis, axisymmetric analysis, isoparametric formulation, numerical integration; Computer implementation of finite element method - solution of large set of equations, use of symmetry and anti-symmetry conditions, sub-structuring, application of boundary conditions."
CE 420,Concrete Technology,Theory,Interdisciplinary STEM Course.,I - Prakash Nanthagopalan,"   
FullSemester","12
Mon-12A-17:30:00-18:55:00-
Thu-12B-17:30:00-18:55:00-", , ,300,No restrictions,[],6.0,2.0, ,2.0, ,N,"1.Santhakumar, A. R., Concrete Technology, Oxford University Press, New Delhi, 2018.2. Neville, A.M., and Brooks, J. J., Concrete Technology, Pearson Education Ltd., 2010.3.Neville, A.M., Properties of concrete, 5th ed., Pearson Education Limited, London, 2011. 4.Kumar Metha, P., and Monterio, P. J. M., Concrete - Microstructures, Properties and Materials, Indian Edition, Indian Concrete Institute, Chennai, 1999. 5.Hewlett, P. C., Lea`s Chemistry of Cement and concrete, 5th Edition, 2019. 6.De Larrard, F, Concrete Mixture proportioning A scientific Approach, CRC press, 2019. 7.Aitcin, P. C., High Performance Concrete, CRC press, 2019. 8.Bureau of Indian Standards, ASTM and ACI Standards.","Content (List of the topics/sub-topics to be covered in the lectures/practicals/assignments): Course objectives: To gain basic understanding about the concrete and its constituent materials Get introduced to new developments and applications in concrete technology Course content: Theory Component: Constituents of Concrete: Cement - production, composition, hydration, Aggregates – production, classification and properties, Mineral admixtures – Properties and proportioning methods, Chemical admixtures – Classification, properties and dosage Optimisation, Mixture design guidelines: IS 10262 and ACI 211, Fresh Concrete properties, Transportation, Placement, Consolidation, finishing and curing of concrete, Mechanical and Durability properties of concrete 1.Lab. component : Tests on Cement (IS 269) Standard Consistency (IS 4031 Part 4) Compressive Strength (IS 4031 Part 6) Tests on Aggregates (IS 2386, IS 383) Particle size distribution (IS 2386 Part 1) Specific gravity and Bulk Density (IS 2386 Part 3) Water absorption & Moisture Content (IS 2386 Part 3) Tests on Mineral Admixtures (IS 1727) Fineness (Blaine`s permeability method), Puntke Test Tests on Chemical Admixtures (Water Reducer) and Water (IS 9103, IS 456) Solids content, Optimisation of dosage (Mini-slump test), pH Tests on Fresh Concrete (Mixture Design - IS 10262) Slump and Slump Retention (IS 1199 Part 2) Setting Time (IS 1199 Part 7) Tests on Hardened Concrete Compression Test - Concrete Cube & Cylinder (IS 516 Part 1: Sec. 1) Modulus of Elasticity (IS 516 Part 8) Non Destructive Testing of Concrete Ultrasonic Pulse Velocity Test (IS 516 Part 5: Sec. 1) Schmidt Rebound Hammer Test (IS 516 Part 5: Sec. 4) Durability tests on Concrete Water Permeability Test (IS 516 Part 2: Sec. 1/ DIN 1048 Part 5) Accelerated Carbonation Test (IS 516 Part 2: Sec. 4 & Part 5 Sec. 3)"
CE 448,Prestressed Concrete Design,Theory,Interdisciplinary STEM Course.,I - Najeeb Mohammad Shariff,"  Room No. 228
FullSemester","3
Mon-3A-10:35:00-11:30:00-Room No. 228
Thu-3C-08:30:00-09:25:00-Room No. 228
Tue-3B-11:35:00-12:30:00-Room No. 228", , ,300,No restrictions,[],6.0,2.0,2.0, , ,N,"T.Y. Lin and N.H. Burns, Design of Prestressed Concrete Structures, 3rd Ed., Wiley, New York, 1981.A.E. Naaman, Prestressed Concrete Analysis and Design: Fundamentals, 2nd Ed., Technopress, New York, 2004.N. Krishnaraju, Prestressed Concrete, Tata McGraw Hill, New Delhi, 1981.Y. Guyan, Limit State Design of Prestressed Concrete, Applied Science Publishers, 1972.","Prestressing concepts, materials, systems of prestressing and losses. Introduction to working stress method, limit state analysis and design of members for bending. Shear torsion and axial forces. End block design. Deflections, use of relevant codes of practice."
CE 462,Elements of Structural Dynamics,Theory,Interdisciplinary STEM Course.,I - Swagata Basu,"  Room No. 228
FullSemester","2
Mon-2A-09:30:00-10:25:00-Room No. 228
Thu-2C-11:35:00-12:30:00-Room No. 228
Tue-2B-10:35:00-11:30:00-Room No. 228", , ,300,No restrictions,[],6.0,2.0, ,2.0, ,N,"R.W. Clough, J. Penzlen, Dynamics of Structures, McGraw Hill, 2nd ed. 1993 M. Paz, Structural Dynamics - Theory and Computation, Van Nostrand, 1985 IS : 1893-1984 Criteria for Earthquake-Resistant Design of Structures.",SDOF System - Equation of Motion; Generalized SDOF system; Free Vibration; Harmonic Load; Periodic Load; Impulse Load; General Loads (Time and Frequency Domain Analysis); Introduction to Nonlinear Analysis; Seismic Analysis. MDOF System - Systems - Property matrices; Undamped Free Vibration; Mode Superposition Techniques ; Practical Free-Vibration Analysis; Buildings; Seismic Analysis; Code Provision.
CE 488,Environmental Geotechnics,Theory,Interdisciplinary STEM Course.,I - Devendra Narain Singh,"  Room No. 208
FullSemester","14
Fri-14B-17:30:00-18:55:00-Room No. 208
Tue-14A-17:30:00-18:55:00-Room No. 208", , ,300,No restrictions,[],6.0,6.0, ,1.0, ,N,"Y B Acar and D E Daniel, Geoenvironmental 2000: Characterization, Containment, Remediation & Performance in Environmental Geotechnics, ASCE, NY. 2000.D S Hari and R R Krishna, Geoenvironmental Engineering: Site Remediation, Waste Containment, and Emerging Waste Management Technologies, Wiley, 2005.I S Oweis and R P Khera, Geotechnology of Waste Management, 2nd Ed, PSW Publishing,. 2004.J F Rees, Contaminated Land Treatment Technologies, Elsevier Applied Science, NY, 1992.","Hazardous wastes, Physical, Chemical and Mineralogical characterization, Geoenvironmental hazards: Natural and man made, Recycle and Reuse of Industrial waste(s). Role of Geotechnical engineering in environmental protection, Surface and subsurface contamination, Characterization of contaminated ground, Geoenvironmental site investigation and site assessment technologies"
CE 495,BTP II,Other Project,Interdisciplinary STEM Course.,I - Tom V. Mathew,"   
FullSemester",, , ,0,No restrictions,[],6.0, , , , ,N, , 
CE 607,Numerical Techniques in Hydraulic Engg,Theory,Interdisciplinary STEM Course.,I - Eldho Thekkilakkattu Iype,"   
FullSemester","5
Fri-5B-09:30:00-10:55:00-
Wed-5A-09:30:00-10:55:00-", , ,300,No restrictions,[],6.0,6.0, , , ,N," K. A. Hoffmann and S. T. Chiange, Computational Fluid Dynamics for Engineers, Vol. I,Engineering Education System, Wichita, Kanasas, 1993. S. C. Chapra and R. P. Canale, Numerical Methods for Engineers, McGraw-Hill, New York, 1990. M.K. Jain, S.R.K. Iyengar & R.K Jain, Numerical Methods for Scientific & EngineeringComputation, Wiley Easter Ltd., New Delhi, 1995. O.C. Zienkiewics, Finite Element Method, McGraw Hill Book Co., New York, 1991. T.R. Chandrupatla, Introduction to Finite Elements in Engineering, Prentice Hall, Englewood Cliffs,New Jersey, 1991. K.J. Bathe, Finite Element Procedure in Engineering Analysis, Prentice Hall of India, New Delhi,1990. C.A. Brebbia, J.C.F. Telles, L.C. Wrobel, Boundary Element Techniques- Theory and Applicationsin Engineering, Springer-Verlag, Berlin , 1984. J.N. Reddy, Finite Element Method, McGraw-Hill Inc, New York, 1993. Wang, H., and Anderson, M. P. (1982). Introduction to Groundwater Modeling Finite Difference andFinite Element Methods, W. H. Freeman and Company, New York. Pinder, G. F., and Gray, W. G. (1977). Finite Element Simulation in Surface and SubsurfaceHydrology, Academic press, New York. Desai, Y.M., Eldho T.I., Shah A.H.. (2011). Finite Element Method with Applications inEngineering, Pearson Education, New Delhi."," Mathematical Modeling: Mathematical tools and techniques, Advanced modeling applications to water resources and environmental engineering problems.  System of Equations & Solutions– Linear equations; Iterative methods, direct methods, conjugate gradient method; Newton Raphson method; sparse matrices and compact storage schemes; Inversion of matrices; Non-linear equations and solutions; Gauss Jordan method; Gauss Siedel method; Eigen Values and Vectors & applications;  Numerical Solution of Ordinary Differential Equations: Single step method, multi-step method; Runge-Kutta methods; Numerical differentiation and integration; boundary value and initial boundary value problems – Applications in water resources/ ocean/ environmental engineering.  Partial differential equations & Solutions: different types and solution approaches.  Finite Difference Method: Various Finite difference schemes, implicit and explicit methods, ADI method; Method of Characteristics - Applications in water resources/ ocean/ environmental engineering.  Approximate Methods – Method of weighted residuals (Sub-domain, Collocation, Least squares, Galerkin, Raleigh-Ritz methods), Applications to solve linear and nonlinear differential equations.  Finite Element Method: Discretization of domain – Grid generation, Interpolating polynomials, Integration of shape functions over the domain; Formulation of element matrices and its global assembly - Applications in water resources/ ocean/ environmental engineering.  Introduction to boundary element method and Meshfree methods - Applications in water resources/ ocean/ environmental engineering.  Applications of various computer software based on finite difference method & finite element method – Applications in groundwater flow, Fluid dynamics, Pollutant transport in surface and subsurface water"
CE 608,Eco-hydro-Climatology,Theory,Interdisciplinary STEM Course.,I - Subimal Ghosh,"  Room No. 233
FullSemester","1
Mon-1A-08:30:00-09:25:00-Room No. 233
Thu-1C-10:35:00-11:30:00-Room No. 233
Tue-1B-09:30:00-10:25:00-Room No. 233", , ,300,"[['ALL', 'ALL', 'ALL', 'ALL', 'ALL', 'ALL', 'ALL', 'ALL', 'ALL'], ['ALL', 'ALL', 'ALL', 'ALL', 'ALL', 'ALL', 'ALL', 'ALL', 'ALL'], ['M.S. by Research', 'M.Tech. (Exit Degree)', 'M.S. by Research (Exit degree)', 'Dual Degree (B.Tech. + M.Tech.)', 'M.Tech.', 'P.G.D.I.I.T (Exit Degree)', 'Ph.D.', 'M.Sc.', 'ALL'], ['Allowed', 'Allowed', 'Allowed', 'Allowed', 'Allowed', 'Allowed', 'Allowed', 'Allowed', 'Deny'], ['Non-Overridable', 'Non-Overridable', 'Non-Overridable', 'Non-Overridable', 'Non-Overridable', 'Non-Overridable', 'Non-Overridable', 'Non-Overridable', 'Non-Overridable']]",[],6.0,3.0, , , ,N," Bonan G. B. ,Ecological Climatology, Cambridge University Press, 2002 Campbell, G. G. and Norman J. M., An Introduction to Environmental Biophysics, Springer, 1998 IPCC Assessment Report 4 Recent articles in journals, specifically, Water Resources Research, Journal of GeophysicalResearch, Journal of Climate, Climatic Change, Nature Geoscience, Nature Climate Change etc."," Introduction to Eco-hydro-climatology: an interdisciplinary framework; Climate System; Climate, weather and Climate Change; Overview of Earth’s Atmosphere; Vertical Structure of Atmosphere; Radiation and Temperature; Laws of Radiation; Heat-Balance of EarthAtmosphere System; Random Temperature Variation; Modeling Vertical Variation in Air Temperature; Temporal Variation of Air temperature; Temperature Change in Soil; Thermal Time and Temperature Extremes.  Hydrologic Cycle: Introduction; Global water balance; Cycling of water on land, a simple water balance model; Climate Variables affecting Precipitation, Precipitation and Weather, Humidity, Vapor Pressure, Forms of Precipitation, Types of Precipitation; Cloud; Atmospheric Stability; Monsoon; Wind Pattern in India; Global Wind Circulation; Indian Summer Monsoon Rainfall.:  Thermodynamics and Cloud Micro-physics: 1st and 2nd law of thermodynamics with application to meteorology. C-C theory, Cloud Microphysics (Introduction)Climate Variability: Floods, Droughts, Drought Indicators, Heat waves, Climate Extremes.  Climate Change: Introduction; Causes of Climate Change; Modeling of Climate Change, Global Climate Models, General Circulation Models, Downscaling; IPCC Scenarios;  Commonly used Statistical Methods in Hydro-climatology: Trend Analysis; Empirical Orthogonal Functions, Principal Component Analysis; Canonical Correlation; Statistical Downscaling with Regression  Ecological Climatology: Leaf energy fluxes and leaf photosynthesis; Plant canopies, ecosystem and vegetation dynamics; Coupled climate vegetation dynamics, Carbon cycle climate feedbacks, Introduction to Precipitation Recycling"
CE 610,Introduction to Earthquake Engineering,Theory,Interdisciplinary STEM Course.,I - Meera Raghunandan,"   
FullSemester","10
Fri-10B-14:00:00-15:25:00-
Tue-10A-14:00:00-15:25:00-", , ,60,No restrictions,[],6.0,6.0, , , ,N,"A. K. Chopra, Dynamics of Structures 226 Applications to Earthquake Engineering, Prentice-Hall, New York, 1995.R.W. Clough and J. Penzien, Dynamics of Structures, 2nd edition, McGraw-Hill, New York, 1992.N.M. Newmark and E. Rosenblueth, Fundamentals of Earthquake Engineering, Prentice Hall, New York, 1971.D. Key, Earthquake Design Practice for Building, Thomas Telford, London, 1988.R.L. Wiegel, Earthquake Engineering, 2nd edition, Prentice Hall, London, 1989.J.A. Blume, N.M. Newmark, and L.H. Corning, Design of Multi-storied Buildings for Earthquake Ground Motions222, Portland Cement Association, Chicago, 1961.Proceedings of World Conferences on Earthquake Engineering, 1956-2000.I.S. Codes No.1893, 4326,13920.","Characterisation of ground motion, Earthquake intensity and magnitude; Recording instruments and base line correction; Predominant period and amplification through soil; Earthquake spectra for elastic and inelastic systems; Idealisation of structural systems for low, medium and high rise buildings; Lateral force evaluation by mode superposition and direct integration; Reserve energy technique; Effect of foundation/soil on earthquake response; Analysis for torsion; Review of damages during past earthquakes and remedial measures; Reinforcement detailing for members and joints coupling; Codal provisions."
CE6104,Quantitative Methods in Planning,Theory,Interdisciplinary STEM Course.,I - Arnab Jana,"   
FullSemester","8
Mon-8A-14:00:00-15:25:00-
Thu-8B-14:00:00-15:25:00-", , ,61,No restrictions,[],6.0,3.0, , , ,N,"Silva, E. A., Healey, P., Harris, N., & Van den Broeck, P. (Eds.). (2).302240The Routledge handbook of planning research methods302240(pp. 251-254). London: Routledge. ISBN 9781138216570Ewing, R., & Park, K. (Eds.). (2020). Basic quantitative research methods for urban planners. Routledge. ISBN 9781000769234Research Methods in Urban and Regional Planning,2007, Xinhao Wang and Rainer vom Hofe, Springer, ISBN: 978-3-540-49657-1 (Print) 978-3-540-49658-8(Online), DOI 10.1007/978-3-540-49658-8Handbook of Research Methods and Applications in Urban Economies, 2013, edited by Peter Karl Kresl, Jaime Sobrino, Edward Elgar Publishing Limited UK,(ISBN 978 0 85793 461 1; eISBN 978 0 85793 462 Advances in Urban Planning in Developing Nations: Data Analytics and Technology, 2021, Edited by Arnab Jana, ISBN 9781032189536ISBN 9780367528669, Routledge India","This course is designed (1) to impart understanding of the different analytical methods pertaining to urban planning, and (2) to emphasize the theoretical foundation, data requirement, assumptions, limitations, and constraints of the analytical methods, using examples.The course would incorporate topics such as:Data and data presentation, Demographic analysis (Fundamental concepts, demographic reasons for population change, population trend extrapolation methods, cohort-component method), Input-output analysis for planning, Land use analysis (Land Use and Human Activities, relationship between different urban components. Land classification, land database and land mapping) Land suitability analysis, Impact Analysis; land use models and analysis; Growth models and spatial analysis; use of AI in urban planning."
CE 619,Structural Stability,Theory,Interdisciplinary STEM Course.,I - Naresh Kotumal Chandiramani,"  Room No. 233
FullSemester","6
Fri-6B-11:05:00-12:30:00-Room No. 233
Wed-6A-11:05:00-12:30:00-Room No. 233", , ,300,No restrictions,[],6.0,6.0, , , ,N,"Don O. Brush and B.O.Almorth, Buckling of Bare, Plates and Shells, McGraw-Hill, New York 1975.S.P.Timoshenkoand J.M.Gere, Theory of Elastic Stability, 2nd Edition, McGraw Hill New York, 1961.A.Chajes, Principles of Structural Stability Theory, Prentice Hall, New York, 1974.N.G.R.Iyengar, Structural Stability of Plates and Shells (Ellis Horwood Series in Civil Engineering), East-West Press, New Delhi. G.J.Simitses, An Introduction to the Elastic Stability of Structures, Prentice Hall, New York, 1976.Z.P.Bazant and L.Cedolin, Stability of Structures: Elastic, Inelastic, Fracture and Damage theories, Oxford University Press, New York, 1991.","Concepts of stability, static, dynamic and energy criteria; Buckling Snap through and post-buckling; stability of colums and beams; Inelastic buckling; Beam-colums; stability of frames; Matrix stiffness and finite element methods applied to stability problems; introduction to stability of plates, shells and stiffened plates."
